sub_uuid,parent_ticker,parent_cik10,subsidiary_name,jurisdiction_iso3,ownership_pct,first_seen_year,last_seen_year,accession,exhibit_label,parse_confidence,lineage
dc3cf02e-8590-5c12-bafa-4e84d20c7f28,ABLV,1957489,Ableview Investment Limited,CYM,,2024,2024,0001213900-24-037882,EX-21.1,1.0,companies\ABLV\exhibits\0001213900-24-037882\EX-21.1.htm
9550f201-b823-5093-a458-81fcf1b0ff91,ABLV,1957489,Ableview Capital Group Ltd.,VGB,,2024,2024,0001213900-24-037882,EX-21.1,1.0,companies\ABLV\exhibits\0001213900-24-037882\EX-21.1.htm
8cbaea68-e4f5-5509-9a6a-7b985ac1aef4,ABLV,1957489,Ableview Cosmetic Limited,HKG,,2024,2024,0001213900-24-037882,EX-21.1,1.0,companies\ABLV\exhibits\0001213900-24-037882\EX-21.1.htm
47185d29-dab8-5984-b94b-86a63bf66500,ABLV,1957489,CSS Cosmetic (Hong Kong) Limited,HKG,,2024,2024,0001213900-24-037882,EX-21.1,1.0,companies\ABLV\exhibits\0001213900-24-037882\EX-21.1.htm
3c7be1eb-a3f6-5da3-9080-0d0513790f03,ABLV,1957489,Ableview Management Limited,HKG,,2024,2024,0001213900-24-037882,EX-21.1,1.0,companies\ABLV\exhibits\0001213900-24-037882\EX-21.1.htm
d040d880-d9e4-5580-a43d-0fde216febd9,ABLV,1957489,Ableview Brands Limited,HKG,,2024,2024,0001213900-24-037882,EX-21.1,1.0,companies\ABLV\exhibits\0001213900-24-037882\EX-21.1.htm
920670a4-1d85-53e1-ba9a-e32b8cc1a843,ABLV,1957489,Able View Enterprise Limited,HKG,,2024,2024,0001213900-24-037882,EX-21.1,1.0,companies\ABLV\exhibits\0001213900-24-037882\EX-21.1.htm
aa5b05d5-7ef6-565b-aa3f-e2d8bfbe4fd1,ABLV,1957489,Able View Inc.,CYM,,2024,2024,0001213900-24-037882,EX-21.1,1.0,companies\ABLV\exhibits\0001213900-24-037882\EX-21.1.htm
664713b4-f14e-5abf-b0f4-695efc54532a,ABLV,1957489,CSS Global Limited,VGB,,2024,2024,0001213900-24-037882,EX-21.1,1.0,companies\ABLV\exhibits\0001213900-24-037882\EX-21.1.htm
75d62f72-02bf-5ea4-a5e0-75e2e778e8d9,ABLV,1957489,Cosmetic Skin Solution Holding Limited,VGB,,2024,2024,0001213900-24-037882,EX-21.1,1.0,companies\ABLV\exhibits\0001213900-24-037882\EX-21.1.htm
afe661b2-9004-5ce0-894c-04f0f03eb304,ABLV,1957489,Healthy Great Pte. Ltd.,SGP,,2024,2024,0001213900-24-037882,EX-21.1,1.0,companies\ABLV\exhibits\0001213900-24-037882\EX-21.1.htm
d1d84a4c-cb65-526c-b7f5-9b229e5ed3b7,ABLV,1957489,"Beijing Jingyuan Trading Co., Ltd.",CHN,,2024,2024,0001213900-24-037882,EX-21.1,1.0,companies\ABLV\exhibits\0001213900-24-037882\EX-21.1.htm
9e01cb2d-38ad-5b5d-8f7c-a7dd7ab8cb72,ABLV,1957489,"Shanghai Jinglu Trading Co., Ltd.",CHN,,2024,2024,0001213900-24-037882,EX-21.1,1.0,companies\ABLV\exhibits\0001213900-24-037882\EX-21.1.htm
53188eef-9108-5489-b86c-913a05a67f96,ABLV,1957489,CSS Cosmetic (Shanghai) Ltd.,CHN,,2024,2024,0001213900-24-037882,EX-21.1,1.0,companies\ABLV\exhibits\0001213900-24-037882\EX-21.1.htm
5bc33e8b-08db-5174-b48b-7dbce3a5f51f,ABLV,1957489,"Shanghai Jingyue Trading Co., Ltd.",CHN,,2024,2024,0001213900-24-037882,EX-21.1,1.0,companies\ABLV\exhibits\0001213900-24-037882\EX-21.1.htm
012f84bf-2460-5a1b-b8a0-420cb50e6736,ABLV,1957489,"Shanghai Weitong Trading Co., Ltd.",CHN,,2024,2024,0001213900-24-037882,EX-21.1,1.0,companies\ABLV\exhibits\0001213900-24-037882\EX-21.1.htm
b7798193-af9c-5f18-a021-692e26b6d013,ABLV,1957489,"Shanghai Jingnan Medical Instrument Co., Ltd.",CHN,,2024,2024,0001213900-24-037882,EX-21.1,1.0,companies\ABLV\exhibits\0001213900-24-037882\EX-21.1.htm
8ff26f07-84f8-564d-b63a-3ae347f7f327,CLPS,1724542,"Qinheng Co., Limited",HKG,,2024,2024,0001213900-24-088712,EX-21.1,1.0,companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm
2ce45e77-d781-5344-8d90-5b9334c1505f,CLPS,1724542,"Qiner Co., Limited",HKG,,2024,2024,0001213900-24-088712,EX-21.1,1.0,companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm
4d4c1fea-d959-58d6-8f16-e84f1c89e616,CLPS,1724542,"Shanghai Qincheng Information Technology Co., Ltd.",CHN,,2024,2024,0001213900-24-088712,EX-21.1,1.0,companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm
1e678d1b-e445-5907-b05d-1fbadc6e9e13,CLPS,1724542,"CLPS Shanghai Co., Ltd.",CHN,,2024,2024,0001213900-24-088712,EX-21.1,1.0,companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm
1d90ddca-248e-541b-a787-6d1bab9d0188,CLPS,1724542,"CLPS Dalian Co., Ltd.",CHN,,2024,2024,0001213900-24-088712,EX-21.1,1.0,companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm
76b318a0-6a56-5a00-a57f-8d478a94c600,CLPS,1724542,"CLPS Beijing Hengtong Co., Ltd.",CHN,,2024,2024,0001213900-24-088712,EX-21.1,1.0,companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm
7a0f3413-c227-5f94-a1f3-7e274915731f,CLPS,1724542,"JAJI (Shanghai) Co., Ltd.",CHN,,2024,2024,0001213900-24-088712,EX-21.1,1.0,companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm
c5979372-e773-52b4-ae35-36986ef3382e,CLPS,1724542,"JAJI (Shanghai) Human Resource Co., Ltd.",CHN,,2024,2024,0001213900-24-088712,EX-21.1,1.0,companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm
94d7b744-01a7-5138-b40b-c6d0055a15d9,CLPS,1724542,Ridik Technology (Australia) Pty. Ltd.,AUS,,2024,2024,0001213900-24-088712,EX-21.1,1.0,companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm
32366c32-6694-57dc-ae39-1532fe1bcee6,CLPS,1724542,CLPS Technology (Singapore) Pte. Ltd.,SGP,,2024,2024,0001213900-24-088712,EX-21.1,1.0,companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm
503e1dad-cfed-56ff-b3a8-6ae5e7c1555b,CLPS,1724542,"CLPS Technology (HK) Co., Ltd.",HKG,,2024,2024,0001213900-24-088712,EX-21.1,1.0,companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm
79a02335-7b91-58a1-971e-ecea80523d11,CLPS,1724542,"CLPS Shenzhen Co., Ltd.",CHN,,2024,2024,0001213900-24-088712,EX-21.1,1.0,companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm
a6386fda-5694-5d61-8f91-9931471849c1,CLPS,1724542,"CLPS Guangzhou Co., Ltd.",CHN,,2024,2024,0001213900-24-088712,EX-21.1,1.0,companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm
88c7806c-3c15-57ef-996d-336ca4da757b,CLPS,1724542,CLPS Technology (US) Ltd.,USA,,2024,2024,0001213900-24-088712,EX-21.1,1.0,companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm
4dda7aca-c86f-52e6-86c8-fd1a8df9970a,CLPS,1724542,CLPS Technology (California) Inc.,USA,,2024,2024,0001213900-24-088712,EX-21.1,1.0,companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm
f2ad449e-e410-50e3-b2ec-ea0887ea232d,CLPS,1724542,CLPS Hangzhou Co. Ltd.,CHN,,2024,2024,0001213900-24-088712,EX-21.1,1.0,companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm
bcc0d083-b098-5cd4-a15f-ce695bab7fa0,CLPS,1724542,Ridik Pte. Ltd.,SGP,,2024,2024,0001213900-24-088712,EX-21.1,1.0,companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm
1fbf977a-c523-50d6-9538-a9190ddb57d4,CLPS,1724542,Ridik Consulting Private Limited,IND,,2024,2024,0001213900-24-088712,EX-21.1,1.0,companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm
298f8941-7218-53f6-b63c-8369882af65b,CLPS,1724542,Ridik Sdn. Bhd.,MYS,,2024,2024,0001213900-24-088712,EX-21.1,1.0,companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm
de2f3245-3de2-521a-b735-64d5bf4eadbd,CLPS,1724542,Ridik Software Solutions Pte. Ltd.,SGP,,2024,2024,0001213900-24-088712,EX-21.1,1.0,companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm
53b2fe97-5ab9-5170-9a02-a6151cb1ad38,CLPS,1724542,CLPS Technology Japan,JPN,,2024,2024,0001213900-24-088712,EX-21.1,1.0,companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm
da227750-e23f-5f5a-9c28-161ada83cd78,CLPS,1724542,Qinson Credit Card Services Limited,HKG,,2024,2024,0001213900-24-088712,EX-21.1,1.0,companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm
6553befd-6c37-591a-9d3f-556ae966c761,CLPS,1724542,Hainan Qincheng Software Technology Co.Ltd,CHN,,2024,2024,0001213900-24-088712,EX-21.1,1.0,companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm
f2c4521f-366e-5885-9a26-f1285f93a631,CLPS,1724542,"CLPS Xian Co., Ltd.",CHN,,2024,2024,0001213900-24-088712,EX-21.1,1.0,companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm
3b3d939b-d185-5e08-9548-88a78bcb6f0b,CLPS,1724542,"Shanghai Chenqin Information Technology Services Co., Ltd.",CHN,,2024,2024,0001213900-24-088712,EX-21.1,1.0,companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm
f1900292-3f11-50f7-a8ba-7d9da029a8f2,CLPS,1724542,Growth Ring Ltd.,VGB,,2024,2024,0001213900-24-088712,EX-21.1,1.0,companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm
7b4159af-7de1-5dc1-801a-0c8107175b20,CLPS,1724542,Arabian Jasmine Ltd.,VGB,,2024,2024,0001213900-24-088712,EX-21.1,1.0,companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm
71343b15-4a16-5740-89d5-a3644a23b814,CLPS,1724542,Noni (SINGAPORE) PTE. LTD.,SGP,,2024,2024,0001213900-24-088712,EX-21.1,1.0,companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm
3b30f8a3-5cac-512b-b50b-257c974a0f8d,CLPS,1724542,CLPS-Beefinance Holding Limited,VGB,,2024,2024,0001213900-24-088712,EX-21.1,1.0,companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm
42dd3609-81d6-5f68-94dc-e6890971e9e2,CLPS,1724542,LinkCrypto Finance Technology Limited,HKG,,2024,2024,0001213900-24-088712,EX-21.1,1.0,companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm
dc0b3d19-3ac5-5458-9445-a34e86cf1531,CLPS,1724542,Qinson Ltd.,VGB,,2024,2024,0001213900-24-088712,EX-21.1,1.0,companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm
bd2d71a2-9d14-5661-8ab6-25af0745fe3d,CLPS,1724542,LQE Ltd.,VGB,,2024,2024,0001213900-24-088712,EX-21.1,1.0,companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm
bdbe27a1-f05d-5b34-9a0f-9c12db8c4b19,CLPS,1724542,CLPS Technology (Philippines) Corp,PHL,,2024,2024,0001213900-24-088712,EX-21.1,1.0,companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm
b2686610-0d9d-55fd-945d-7f8874af56f1,CLPS,1724542,MSCT Investment Holdings Limited,VGB,,2024,2024,0001213900-24-088712,EX-21.1,1.0,companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm
99180c1d-eef4-5ed4-9722-5a4b1013183e,CLPS,1724542,MNYC HOLDINGS (HK) LIMITED,HKG,,2024,2024,0001213900-24-088712,EX-21.1,1.0,companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm
d49d9a40-43b8-5a63-9cf7-88ddd96a7efc,CLPS,1724542,"Haikou Huaqin Minshang Software Development Co., Ltd",CHN,,2024,2024,0001213900-24-088712,EX-21.1,1.0,companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm
95e63ef0-1699-56a0-be0e-b409a4d5a7e1,CLPS,1724542,"CLPS Chengdu Co., Ltd.",CHN,,2024,2024,0001213900-24-088712,EX-21.1,1.0,companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm
f038f55b-fb86-5b72-abe7-77067c2aa6db,CLPS,1724542,CLPS Investment Management Ltd,VGB,,2024,2024,0001213900-24-088712,EX-21.1,1.0,companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm
289126cd-3141-5bbf-9640-e445da6e9834,CLPS,1724542,Ridik Technology Canada Limited,CAN,,2024,2024,0001213900-24-088712,EX-21.1,1.0,companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm
2e43687f-621b-501e-8037-1f525f16f845,CLPS,1724542,JAJI Global Incorporation,CYM,,2024,2024,0001213900-24-088712,EX-21.1,1.0,companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm
