parent_ticker, parent_cik10, accession           , exhibit_label, exhibit_year, subsidiary_name_raw                                                                                      , jurisdiction_raw                               , ownership_raw                                , footnote_marker, source_path                                             , parse_confidence
CLPS         ,   0001724542, 0001213900-24-088712, EX-21.1      ,         2024, "CLPS Technology (HK) Co., Ltd."                                                                         ,                                                , Hong Kong                                    ,                , companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm, 
CLPS         ,   0001724542, 0001213900-24-088712, EX-21.1      ,         2024, "CLPS Shenzhen Co., Ltd."                                                                                ,                                                , PRC                                          ,                , companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm, 
CLPS         ,   0001724542, 0001213900-24-088712, EX-21.1      ,         2024, "CLPS Guangzhou Co., Ltd."                                                                               ,                                                , PRC                                          ,                , companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm, 
CLPS         ,   0001724542, 0001213900-24-088712, EX-21.1      ,         2024, CLPS Technology (US) Ltd.                                                                                ,                                                , Delware                                      ,                , companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm, 
CLPS         ,   0001724542, 0001213900-24-088712, EX-21.1      ,         2024, CLPS Technology (California) Inc.                                                                        ,                                                , California                                   ,                , companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm, 
CLPS         ,   0001724542, 0001213900-24-088712, EX-21.1      ,         2024, CLPS Hangzhou Co. Ltd.                                                                                   ,                                                , PRC                                          ,                , companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm, 
CLPS         ,   0001724542, 0001213900-24-088712, EX-21.1      ,         2024, Ridik Pte. Ltd.                                                                                          ,                                                , Singapore                                    ,                , companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm, 
CLPS         ,   0001724542, 0001213900-24-088712, EX-21.1      ,         2024, Ridik Consulting Private Limited                                                                         ,                                                , India                                        ,                , companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm, 
CLPS         ,   0001724542, 0001213900-24-088712, EX-21.1      ,         2024, Ridik Sdn. Bhd.                                                                                          ,                                                , Malaysia                                     ,                , companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm, 
CLPS         ,   0001724542, 0001213900-24-088712, EX-21.1      ,         2024, Ridik Software Solutions Pte. Ltd.                                                                       ,                                                , Singapore                                    ,                , companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm, 
CLPS         ,   0001724542, 0001213900-24-088712, EX-21.1      ,         2024, CLPS Technology Japan                                                                                    ,                                                , Japan                                        ,                , companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm, 
CLPS         ,   0001724542, 0001213900-24-088712, EX-21.1      ,         2024, Qinson Credit Card Services Limited                                                                      ,                                                , Hong Kong                                    ,                , companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm, 
CLPS         ,   0001724542, 0001213900-24-088712, EX-21.1      ,         2024, Hainan Qincheng Software Technology Co.Ltd                                                               ,                                                , PRC                                          ,                , companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm, 
CLPS         ,   0001724542, 0001213900-24-088712, EX-21.1      ,         2024, "CLPS Xian Co., Ltd."                                                                                    ,                                                , PRC                                          ,                , companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm, 
CLPS         ,   0001724542, 0001213900-24-088712, EX-21.1      ,         2024, "Shanghai Chenqin Information Technology Services Co., Ltd."                                             ,                                                , PRC                                          ,                , companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm, 
CLPS         ,   0001724542, 0001213900-24-088712, EX-21.1      ,         2024, Growth Ring Ltd.                                                                                         ,                                                , BVI                                          ,                , companies\CLPS\exhibits\0001213900-24-088712\EX-21.1.htm, 
