parent_ticker,parent_cik10,accession,exhibit_label,exhibit_year,subsidiary_name_raw,jurisdiction_raw,ownership_raw,footnote_marker,source_path,parse_confidence
PDD,0001737806,0001104659-22-049283,EX-8.1,2022,"Hangzhou Aimi Network Technology Co., Ltd.",PRC,,,companies\PDD\exhibits\0001104659-22-049283\EX-8.1.htm,
PDD,0001737806,0001104659-22-049283,EX-8.1,2022,​,​,,,companies\PDD\exhibits\0001104659-22-049283\EX-8.1.htm,
PDD,0001737806,0001104659-22-049283,EX-8.1,2022,Subsidiary of Consolidated Variable Interest Entity,Place of Incorporation,,,companies\PDD\exhibits\0001104659-22-049283\EX-8.1.htm,
PDD,0001737806,0001104659-22-049283,EX-8.1,2022,"Shanghai Xunmeng Information Technology Co., Ltd.",PRC,,,companies\PDD\exhibits\0001104659-22-049283\EX-8.1.htm,
PDD,0001737806,0001104659-21-058237,EX-8.1,2021,HongKong Walnut Street Limited,Hong Kong,,,companies\PDD\exhibits\0001104659-21-058237\EX-8.1.htm,
PDD,0001737806,0001104659-21-058237,EX-8.1,2021,"Hangzhou Weimi Network Technology Co., Ltd.",PRC,,,companies\PDD\exhibits\0001104659-21-058237\EX-8.1.htm,
PDD,0001737806,0001104659-21-058237,EX-8.1,2021,"Walnut Street (Shanghai) Information Technology Co., Ltd.",PRC,,,companies\PDD\exhibits\0001104659-21-058237\EX-8.1.htm,
PDD,0001737806,0001104659-21-058237,EX-8.1,2021,"Shenzhen Qianhai Xinzhijiang Information Technology Co., Ltd.",PRC,,,companies\PDD\exhibits\0001104659-21-058237\EX-8.1.htm,
PDD,0001737806,0001104659-21-058237,EX-8.1,2021,​,​,,,companies\PDD\exhibits\0001104659-21-058237\EX-8.1.htm,
PDD,0001737806,0001104659-21-058237,EX-8.1,2021,Radiance Sea Investment Limited,British Virgin Islands,,,companies\PDD\exhibits\0001104659-21-058237\EX-8.1.htm,
PDD,0001737806,0001104659-21-058237,EX-8.1,2021,​,​,,,companies\PDD\exhibits\0001104659-21-058237\EX-8.1.htm,
PDD,0001737806,0001104659-21-058237,EX-8.1,2021,Radiance Sea Group Limited,Cayman Islands,,,companies\PDD\exhibits\0001104659-21-058237\EX-8.1.htm,
PDD,0001737806,0001104659-21-058237,EX-8.1,2021,​,​,,,companies\PDD\exhibits\0001104659-21-058237\EX-8.1.htm,
PDD,0001737806,0001104659-21-058237,EX-8.1,2021,Radiance Sea Hong Kong Limited,Hong Kong,,,companies\PDD\exhibits\0001104659-21-058237\EX-8.1.htm,
PDD,0001737806,0001104659-21-058237,EX-8.1,2021,​,​,,,companies\PDD\exhibits\0001104659-21-058237\EX-8.1.htm,
