ticker,company_name,market_cap_usd_mil,ipo_date,ipo_value_usd_mil,sector,lead_underwriters,ticker_hk
EJH,"E-Home Household
Service Holdings
Limited",6,2021-05,25.0,"Consumer
Services",Joseph Stone Capital LLC,
WTO,Utime Technology,6,2021-04,15.0,Technology,Boustead Securities,
RDGT,"Ridgetech, Inc.",6,2010-04,,Health Care,"Madison Williams, Rodman & Renshaw",
ATXG,"Addentax Group
Corp.",6,2022-08,159.0,"Consumer Non-
Durables",Network 1 Financial Securities,
CHNR,"China Natural
Resources, Inc.",5,1996-03,,Basic Materials,n/a,
JWEL,Jowell Global Ltd,5,2021-03,26.0,Technology,Network 1 Financial Securities,
SNTG,Sentage Holdings,5,2021-07,20.0,Finance,Network 1 Financial Securities,
FTFT,"Future FinTech
Group Inc.",5,2004-09,,Technology,n/a,
HAO,"Haoxi Health
Technology Ltd",5,2024-01,10.0,"Consumer
Discretionary",EF Hutton LLC,
OST,"Ostin Technology
Group Co., Ltd.",5,2022-04,14.0,Technology,"Prime Number Capital LLC,
Shengang Securities Company
Limited",
CPHI,"China Pharma
Holdings",4,2009-10,,Health Care,n/a,
AEHL,"Antelope
Enterprise Holdings",4,2010-11,26.0,Capital Goods,"Roth Capital Partners, Inc.",
BON,"Bon Natural Life
Limited",4,2021-06,11.0,"Consumer
Services","US Tiger Securities, Newbridge
Securities",
AGMH,"AGM Group
Holdings",4,2018-04,7.0,Technology,Network 1 Financial Securities,
TAOP,Taoping Inc.,4,2010-09,,Technology,n/a,
TANH,"Tantech Holdings
Ltd.",4,2015-03,13.0,Basic Industries,"Newbridge Securities, ViewTrade
Securities",
JXG,JX Luxventure Ltd,4,2012-10,50.0,"Consumer Non-
Durables","Lazard Capital Markets, Rodman
& Renshaw",
BAOS,"Baosheng Media
Group Holdings",4,2021-02,30.0,"Business
Services",Univest Securities,
ITP,"IT Tech Packaging, Inc.",3,2009-01,,Basic Industries Durables,Roth Capital,
NXTT,"Next Technology
Holding Inc",3,2022-07,40.0,Technology,Univest Securities,
