ticker,company_name,market_cap_usd_mil,ipo_date,ipo_value_usd_mil,sector,lead_underwriters,ticker_hk
RCON,"Recon Technology, Ltd.",45,2009-07,10.0,Energy,Anderson & Strudwick,
AIXI,XIAO-I Corporation,45,2023-03,39.0,Technology,Prime Number Capital LLC,
WAI,Top KingWin Ltd,43,2023-04,11.0,"Consumer
Discretionary","Univest Securities LLC, Pacific
Century Securities LLC, AC
Sunshine Securities LLC",
ZBAO,"Zhibao Technology
Inc.",42,2024-04,6.0,Finance,EF Hutton LLC,
BEDU,Bright Scholar Education Holdings Limited,42,2017-05,158.0,Consumer Services,"Deutsche Bank, Morgan Stanley",
ZEPP,Zepp Health Corporation,42,2018-02,110.0,Technology,"China Renaissance Securities, Credit Suisse, Citigroup",
GDHG,"Golden Heaven
Group Holdings Ltd.",38,2023-04,7.0,"Consumer
Discretionary","Revere Securites LLC, R.F. Lafferty
& Co. Inc.",
HPH,Highest Performances Holdings Inc,37,2019-03,26.0,Finance,Network 1 Financial Securities,
DSWL,"Deswell Industries,
Inc.",37,1995-07,,Basic Industries,n/a,
SJ,Scienjoy Holding,36,2019-03,,Technology,Went public through a business combination with SPAC Wealthbridge,
HKIT,Hitek Global Inc.,35,2023-04,16.0,Technology,"R.F. Lafferty & Co., Inc., Pacific Century Securities, LLC",
CLPS,CLPS Incorporation,35,2018-05,11.0,Technology,"Cuttone & Co., Benchmark Co.",
HUIZ,Huize Holding Limited,35,2020-02,55.0,Finance,"Citi, CICC",
CASI,"CASI
Pharmaceuticals,
Inc.",34,1996-06,43.0,Health Care,"Allen & Co. Inc., Dillon, Read &
Co. Inc., Volpe, Welty & Co.",
RAYA,"Erayak Power
Solution Group Inc.",34,2022-12,12.0,Energy,"Craft Capital Management, R.F.
Lafferty",
AACG,ATA Creativity Global,33,2008-01,46.0,Consumer Services,Merril Lynch,
MTEN,"Mingteng
International Corp
Inc.",33,2024-04,4.0,Industrials,Univest Securities,
NISN,Nisun International Enterprise Group,33,2016-12,20.0,Capital Goods,Spartan Securities Group,
LBGJ,"Li Bang
International
Corporation Inc.",31,2024-10,6.0,Industrials,"Craft Capital Management LLC, EF
Hutton LLC",
BTCM,BIT Mining,31,2013-11,75.0,Technology,Deutsche Bank,
MTC,"MMTec, Inc.",31,2019-01,7.0,Technology,Westpark Capital,
MASK,"3 E Network
Technology Group
Ltd",30,2025-01,5.0,Technology,"Craft Capital Management LLC,
Boustead Securities, LLC",
ZCMD,Zhongchao Inc.,30,2020-02,12.0,Consumer Services,Network 1 Financial Securities,
ORIS,"Oriental Rise
Holdings Ltd",29,2024-10,7.0,"Consumer
Staples",US Tiger Securities,
EBON,"Ebang International
Holdings",28,2020-06,101.0,Technology,AMTD,
EHGO,EShallGo Inc.,28,2024-07,5.0,Consumer Discretionary,"US Tiger Securities, Kingswood Capital Partners, LLC",
JZ,Jianzhi Education Technology Group Company Limited,28,2022-08,25.0,Consumer Services,Univest Securities,
INLF,INLIF Ltd,27,2025-01,8.0,Industrials,AC Sunshine Securities LLC,
FENG,Phoenix New Media Ltd.,26,2011-05,140.0,Consumer Services,"Deutsche Bank, Macquarie Capital, Morgan Stanley",
EPOW,"Sunrise New Energy Co., Ltd.",26,2021-02,27.0,Technology,ViewTrade Securities,
OCG,Oriental Culture Holding,25,2020-12,20.0,Consumer Services,"ViewTrade, Prime Number Capital",
BTCT,BTC Digital Ltd.,23,2018-10,55.0,Consumer Services,"Chardan Capital Markets, I- Bankers Securities",
UTSI,"UTStarcom
Holdings Corp.",23,2000-03,180.0,Capital Goods,"Bank of America Securities,
Merrill Lynch, Piper Jaffray",
HUDI,"Huadi International
Group",22,2021-01,25.0,Basic Industries,"Craft Capital Management, R.F.
Lafferty",
AIFU,AIX Inc.,22,2007-11,188.0,Finance,Morgan Stanley,
GDC,GD Culture Group Ltd.,21,2015-07,50.0,Finance,Cantor Fitzgerald & Co.,
